timestamp,bt_navigator,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T19:28:15.216607,17.0,7.0,6.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:28:16.217247,16.0,9.0,4.0,11.0,7.0,10.0,9.0,7.0
2025-06-20T19:28:17.217907,16.0,8.0,6.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T19:28:18.218523,16.0,9.0,5.0,11.0,9.0,10.0,8.0,5.0
2025-06-20T19:28:19.221300,15.0,7.0,6.0,11.0,7.0,9.0,10.0,6.0
2025-06-20T19:28:20.222104,17.0,8.0,5.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T19:28:21.222614,15.0,9.0,5.0,11.0,7.0,10.0,11.0,6.0
2025-06-20T19:28:22.223620,17.0,8.0,6.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:23.224262,15.0,7.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:28:24.224742,17.0,9.0,6.0,11.0,8.0,11.0,10.0,7.0
2025-06-20T19:28:25.225634,15.0,8.0,4.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:28:26.226150,17.0,8.0,5.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:27.226770,16.0,8.0,6.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:28:28.227324,15.0,8.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:28:29.228324,17.0,8.0,6.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:28:30.228858,17.0,8.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:31.229337,16.0,8.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:28:32.229784,15.0,8.0,6.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:33.230509,17.0,8.0,5.0,12.0,7.0,11.0,10.0,6.0
2025-06-20T19:28:34.233659,16.0,7.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:28:35.234904,15.0,8.0,5.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:36.236049,17.0,9.0,6.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T19:28:37.236649,16.0,7.0,5.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:28:38.237172,17.0,8.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:28:39.237747,15.0,9.0,6.0,12.0,8.0,10.0,10.0,6.0
2025-06-20T19:28:40.238880,17.0,8.0,5.0,10.0,7.0,10.0,9.0,5.0
2025-06-20T19:28:41.239728,16.0,8.0,5.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:28:42.240712,15.0,8.0,6.0,12.0,8.0,10.0,9.0,7.0
2025-06-20T19:28:43.241852,16.0,8.0,5.0,10.0,8.0,10.0,10.0,5.0
2025-06-20T19:28:44.242699,16.0,7.0,5.0,12.0,7.0,10.0,9.0,7.0
2025-06-20T19:28:45.244339,17.0,9.0,6.0,11.0,8.0,11.0,11.0,5.0
2025-06-20T19:28:46.245292,15.0,7.0,5.0,10.0,7.0,10.0,8.0,6.0
2025-06-20T19:28:47.246040,17.0,9.0,5.0,12.0,8.0,10.0,10.0,7.0
2025-06-20T19:28:48.247177,16.0,8.0,6.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T19:28:49.250045,16.0,7.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:50.251809,15.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:28:51.252565,17.0,8.0,5.0,12.0,7.0,10.0,10.0,7.0
2025-06-20T19:28:52.253430,15.0,9.0,6.0,10.0,8.0,10.0,10.0,5.0
2025-06-20T19:28:53.254828,16.0,8.0,5.0,12.0,7.0,11.0,9.0,6.0
2025-06-20T19:28:54.256621,16.0,7.0,6.0,11.0,7.0,10.0,10.0,7.0
2025-06-20T19:28:55.257273,15.0,9.0,4.0,11.0,9.0,11.0,10.0,5.0
2025-06-20T19:28:56.259381,17.0,8.0,6.0,12.0,7.0,9.0,10.0,6.0
2025-06-20T19:28:57.260062,15.0,7.0,6.0,11.0,8.0,10.0,9.0,7.0
2025-06-20T19:28:58.260495,16.0,8.0,5.0,11.0,6.0,11.0,9.0,6.0
