timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T16:14:27.215285,9.0,17.0,4.0,9.0,22.0,10.0,10.0,6.0
2025-06-18T16:14:28.215763,7.0,17.0,6.0,7.0,21.0,10.0,9.0,5.0
2025-06-18T16:14:29.217813,6.0,17.0,5.0,10.0,22.0,11.0,10.0,6.0
2025-06-18T16:14:30.219172,8.0,16.0,5.0,7.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:31.219797,7.0,17.0,5.0,9.0,21.0,10.0,9.0,7.0
2025-06-18T16:14:32.221880,8.0,17.0,6.0,7.0,21.0,10.0,10.0,5.0
2025-06-18T16:14:33.222626,8.0,16.0,5.0,9.0,21.0,11.0,9.0,6.0
2025-06-18T16:14:34.223164,6.0,17.0,5.0,9.0,21.0,10.0,10.0,6.0
2025-06-18T16:14:35.224775,8.0,17.0,6.0,7.0,21.9,10.0,9.0,6.0
2025-06-18T16:14:36.226327,8.0,17.0,5.0,9.0,20.0,10.0,9.0,6.0
2025-06-18T16:14:37.227639,7.0,16.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:14:38.229826,6.0,16.0,5.0,7.0,21.0,10.0,9.0,5.0
2025-06-18T16:14:39.231507,8.0,17.0,5.0,10.0,22.0,10.0,9.0,6.0
2025-06-18T16:14:40.231992,7.0,17.0,6.0,8.0,21.0,11.0,9.0,6.0
2025-06-18T16:14:41.232549,8.0,17.0,5.0,9.0,21.0,10.0,10.0,6.0
2025-06-18T16:14:42.234444,8.0,17.0,5.0,7.0,21.0,10.0,10.0,6.0
2025-06-18T16:14:43.235236,7.0,16.0,5.0,9.0,22.0,11.0,9.0,6.0
2025-06-18T16:14:44.235856,8.0,17.0,6.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:45.236411,6.0,17.0,5.0,7.0,21.0,11.0,10.0,6.0
2025-06-18T16:14:46.237089,7.0,17.0,5.0,9.0,21.0,10.0,9.0,5.0
2025-06-18T16:14:47.238863,8.0,16.0,6.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:48.240681,8.0,17.0,6.0,7.0,22.0,10.0,10.0,7.0
2025-06-18T16:14:49.241929,6.0,16.0,5.0,10.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:50.242751,7.0,17.0,4.0,7.0,21.0,10.0,9.0,5.0
2025-06-18T16:14:51.243767,7.0,16.0,6.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:52.248385,8.0,15.9,5.0,8.0,20.9,10.0,10.0,5.0
2025-06-18T16:14:53.250893,8.0,16.9,6.0,8.0,21.9,10.0,10.0,7.0
2025-06-18T16:14:54.252400,7.0,17.0,4.0,9.0,21.0,11.0,9.0,5.0
2025-06-18T16:14:55.252966,7.0,16.0,6.0,7.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:56.253492,8.0,17.0,5.0,9.0,21.0,10.0,10.0,6.0
2025-06-18T16:14:57.253936,7.0,17.0,6.0,8.0,23.0,11.0,9.0,6.0
2025-06-18T16:14:58.255693,7.0,15.0,4.0,8.0,20.0,9.0,10.0,6.0
2025-06-18T16:14:59.256981,7.0,16.0,5.0,9.0,22.0,11.0,9.0,6.0
2025-06-18T16:15:00.257575,8.0,18.0,6.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:15:01.258853,6.0,15.0,5.0,9.0,21.0,10.0,10.0,6.0
2025-06-18T16:15:02.260371,9.0,18.0,6.0,8.0,21.0,11.0,9.0,6.0
2025-06-18T16:15:03.261587,6.0,15.0,4.0,7.0,22.0,10.0,10.0,6.0
2025-06-18T16:15:04.262570,8.0,17.0,6.0,9.0,20.0,10.0,9.0,5.0
2025-06-18T16:15:05.263454,7.0,17.0,6.0,8.0,22.0,11.0,9.0,6.0
2025-06-18T16:15:06.264345,7.0,15.0,5.0,9.0,20.0,9.0,10.0,6.0
2025-06-18T16:15:07.264838,7.0,17.0,5.0,7.0,22.0,10.0,9.0,5.0
2025-06-18T16:15:08.265350,8.0,17.0,5.0,8.0,21.0,12.0,9.0,6.0
2025-06-18T16:15:09.266456,7.0,17.0,5.0,9.0,22.0,10.0,10.0,6.0
2025-06-18T16:15:10.268148,7.0,15.0,5.0,7.0,21.0,10.0,9.0,6.0
2025-06-18T16:15:11.269314,8.0,17.0,6.0,10.0,22.0,10.0,10.0,6.0
2025-06-18T16:15:12.270738,7.0,17.0,6.0,7.0,21.0,10.0,9.0,6.0
2025-06-18T16:15:13.271699,7.0,16.0,4.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:15:14.272859,8.0,16.0,6.0,10.0,21.0,9.0,9.0,6.0
2025-06-18T16:15:15.277128,7.0,16.9,5.0,8.0,21.9,11.0,8.9,6.0
2025-06-18T16:15:16.281385,7.0,16.9,5.0,8.0,20.9,10.0,8.0,6.0
2025-06-18T16:15:17.286082,8.0,15.9,6.0,9.0,20.9,10.0,10.0,5.0
2025-06-18T16:15:18.287110,7.0,16.0,5.0,8.0,21.0,11.0,9.0,6.0
2025-06-18T16:15:19.287614,7.0,17.0,4.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:15:20.288034,8.0,16.0,6.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:15:21.289577,7.0,16.0,5.0,9.0,21.0,10.0,8.0,6.0
2025-06-18T16:15:22.290960,7.0,17.0,5.0,7.0,21.0,10.0,9.0,6.0
2025-06-18T16:15:23.291678,7.0,16.0,6.0,9.0,20.0,10.0,10.0,6.0
2025-06-18T16:15:24.293498,8.0,16.0,5.0,8.0,21.0,11.0,9.0,6.0
2025-06-18T16:15:25.296268,7.0,16.0,5.0,8.0,20.9,9.0,10.0,6.0
2025-06-18T16:15:26.297637,8.0,16.0,5.0,8.0,21.0,10.0,9.0,5.0
2025-06-18T16:15:27.299134,7.0,17.0,6.0,9.0,19.0,11.0,10.0,6.0
2025-06-18T16:15:28.301727,7.0,16.0,5.0,8.0,21.0,10.0,9.0,5.0
2025-06-18T16:15:29.303740,8.0,17.0,6.0,9.0,21.0,11.0,10.0,7.0
2025-06-18T16:15:30.304324,7.0,16.0,5.0,8.0,20.0,10.0,9.0,6.0
2025-06-18T16:15:31.305417,7.0,16.0,5.0,7.0,20.0,10.0,9.0,6.0
2025-06-18T16:15:32.306061,8.0,16.0,5.0,9.0,21.0,10.0,10.0,6.0
2025-06-18T16:15:33.306658,7.0,15.0,5.0,9.0,21.0,11.0,10.0,5.0
2025-06-18T16:15:34.307376,7.0,17.0,6.0,8.0,19.0,9.0,8.0,6.0
2025-06-18T16:15:35.308339,8.0,17.0,5.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:15:36.308840,7.0,16.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:15:37.309665,7.0,16.0,5.0,9.0,19.0,11.0,9.0,6.0
2025-06-18T16:15:38.310445,8.0,17.0,6.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:15:39.311337,8.0,17.0,5.0,9.0,20.0,11.0,10.0,6.0
2025-06-18T16:15:40.313813,7.0,15.0,5.0,8.0,20.9,10.0,8.0,6.0
2025-06-18T16:15:41.315162,8.0,17.0,6.0,9.0,20.0,11.0,11.0,6.0
2025-06-18T16:15:42.315764,6.0,16.0,6.0,7.0,20.0,10.0,9.0,5.0
2025-06-18T16:15:43.316375,8.0,16.0,4.0,9.0,20.0,10.0,9.0,6.0
