timestamp,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-06T16:15:27.640502,7.0,5.0,18.0,6.0,10.0,10.0,17.0,6.0
2025-06-06T16:15:28.641584,9.0,5.0,18.0,8.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:29.643831,8.0,5.0,18.0,7.0,11.0,9.0,16.0,5.0
2025-06-06T16:15:30.646243,9.0,5.0,17.9,7.0,10.0,10.0,15.9,7.0
2025-06-06T16:15:31.648167,7.0,5.0,18.0,7.0,9.0,9.0,16.0,5.0
2025-06-06T16:15:32.652539,9.0,6.0,16.9,8.0,11.0,9.0,15.9,6.0
2025-06-06T16:15:33.653604,8.0,6.0,19.0,6.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:34.654153,8.0,4.0,17.0,8.0,10.0,10.0,16.0,5.0
2025-06-06T16:15:35.655614,7.0,5.0,18.0,6.0,10.0,9.0,17.0,6.0
2025-06-06T16:15:36.656319,9.0,6.0,18.0,8.0,10.0,9.0,15.0,6.0
2025-06-06T16:15:37.658356,8.0,4.0,18.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:15:38.659191,7.0,6.0,19.0,7.0,10.0,10.0,16.0,5.0
2025-06-06T16:15:39.659787,9.0,5.0,17.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:15:40.660257,8.0,4.0,17.0,7.0,10.0,8.0,16.0,5.0
2025-06-06T16:15:41.661011,8.0,6.0,18.0,6.0,10.0,10.0,16.0,6.0
2025-06-06T16:15:42.661580,8.0,5.0,19.0,8.0,9.0,9.0,16.0,7.0
2025-06-06T16:15:43.662059,8.0,5.0,18.0,7.0,11.0,9.0,16.0,5.0
2025-06-06T16:15:44.662846,8.0,5.0,18.0,6.0,10.0,10.0,17.0,6.0
2025-06-06T16:15:45.663496,9.0,6.0,18.0,8.0,10.0,9.0,16.0,5.0
2025-06-06T16:15:46.664476,7.0,4.0,18.0,7.0,11.0,10.0,15.0,6.0
2025-06-06T16:15:47.665675,8.0,5.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:48.666870,8.0,6.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:49.669065,8.0,5.0,18.0,7.0,10.0,9.0,17.0,5.0
2025-06-06T16:15:50.670111,8.0,5.0,17.0,7.0,9.0,9.0,16.0,6.0
2025-06-06T16:15:51.670862,7.0,5.0,17.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:15:52.671503,9.0,5.0,18.0,6.0,9.0,9.0,15.0,5.0
2025-06-06T16:15:53.672536,7.0,5.0,18.0,6.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:54.673041,8.0,5.0,17.0,7.0,8.0,9.0,16.0,6.0
2025-06-06T16:15:55.673680,8.0,5.0,19.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:15:56.676457,8.0,5.0,18.0,8.0,10.0,10.0,17.0,5.0
2025-06-06T16:15:57.678514,10.0,6.0,19.0,8.0,11.0,9.0,16.0,6.0
2025-06-06T16:15:58.680077,7.0,5.0,19.0,6.0,11.0,10.0,16.0,7.0
2025-06-06T16:15:59.680855,9.0,5.0,18.0,8.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:00.682752,8.0,5.0,18.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:16:01.683332,9.0,5.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:02.685100,6.0,6.0,18.0,7.0,9.0,9.0,16.0,5.0
2025-06-06T16:16:03.686639,9.0,5.0,18.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:16:04.687974,8.0,5.0,19.0,8.0,10.0,9.0,15.0,5.0
2025-06-06T16:16:05.688531,9.0,5.0,18.0,6.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:06.689098,7.0,6.0,19.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:16:07.689634,8.0,4.0,17.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:16:08.691487,8.0,5.0,19.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:16:09.692168,8.0,6.0,17.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:16:10.694603,8.0,4.0,19.0,7.0,11.0,10.0,15.0,6.0
2025-06-06T16:16:11.695807,8.0,6.0,18.0,7.0,9.0,8.0,16.0,6.0
2025-06-06T16:16:12.696365,9.0,5.0,17.0,7.0,11.0,10.0,17.0,5.0
2025-06-06T16:16:13.696874,7.0,5.0,19.0,7.0,10.0,10.0,15.0,6.0
2025-06-06T16:16:14.697950,8.0,5.0,18.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:16:15.698519,8.0,6.0,17.0,7.0,10.0,9.0,16.0,7.0
2025-06-06T16:16:16.699168,7.0,5.0,19.0,8.0,10.0,10.0,15.0,5.0
2025-06-06T16:16:17.700117,8.0,5.0,17.0,6.0,11.0,9.0,16.0,5.0
2025-06-06T16:16:18.701693,8.0,5.0,19.0,8.0,9.0,9.0,15.0,6.0
2025-06-06T16:16:19.702266,9.0,4.0,17.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:16:20.702722,7.0,6.0,19.0,6.0,10.0,9.0,15.0,5.0
2025-06-06T16:16:21.704448,8.0,5.0,18.0,8.0,10.0,10.0,17.0,6.0
2025-06-06T16:16:22.705113,8.0,5.0,18.0,7.0,10.0,9.0,15.0,6.0
2025-06-06T16:16:23.706145,7.0,6.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:24.708009,9.0,5.0,18.0,7.0,11.0,10.0,16.0,5.0
2025-06-06T16:16:25.708710,8.0,5.0,17.0,8.0,9.0,9.0,15.0,6.0
2025-06-06T16:16:26.709255,8.0,4.0,18.0,6.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:27.709621,7.0,6.0,18.0,7.0,9.0,9.0,16.0,6.0
2025-06-06T16:16:28.711342,7.0,5.0,18.0,6.0,10.0,8.0,15.0,5.0
2025-06-06T16:16:29.712654,8.0,4.0,18.0,7.0,8.0,9.0,15.0,6.0
2025-06-06T16:16:30.714096,7.0,6.0,17.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:16:31.715654,7.0,5.0,18.0,6.0,9.0,8.0,15.0,5.0
2025-06-06T16:16:32.716285,9.0,5.0,18.0,8.0,10.0,11.0,16.0,7.0
2025-06-06T16:16:33.716697,8.0,5.0,18.0,6.0,10.0,8.0,16.0,5.0
2025-06-06T16:16:34.717116,8.0,5.0,17.0,7.0,10.0,10.0,15.0,5.0
2025-06-06T16:16:35.718921,8.0,5.0,19.0,8.0,11.0,9.0,16.0,6.0
2025-06-06T16:16:36.719531,8.0,6.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:37.720056,8.0,5.0,18.0,7.0,10.0,9.0,15.0,6.0
2025-06-06T16:16:38.722123,8.0,5.0,18.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:16:39.725015,8.0,5.0,18.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:16:40.726662,7.0,5.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:41.727417,10.0,5.0,18.0,7.0,10.0,10.0,15.0,5.0
2025-06-06T16:16:42.728119,7.0,5.0,19.0,7.0,10.0,9.0,16.0,7.0
2025-06-06T16:16:43.730423,8.0,5.0,17.0,7.0,11.0,9.0,16.0,5.0
2025-06-06T16:16:44.731869,8.0,6.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:45.732775,9.0,5.0,19.0,8.0,10.0,10.0,15.0,6.0
2025-06-06T16:16:46.733341,8.0,5.0,18.0,6.0,10.0,9.0,15.0,5.0
2025-06-06T16:16:47.735557,8.0,5.0,18.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:16:48.737237,7.0,5.0,18.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:16:49.737987,9.0,5.0,18.0,6.0,9.0,8.0,15.0,5.0
