timestamp,smoother_server,map_server,amcl,controller_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-18T02:09:29.232830,7.0,5.0,8.0,11.0,11.0,8.0,15.0,6.0
2025-06-18T02:09:30.233411,7.0,5.0,8.0,10.0,9.0,9.0,16.0,6.0
2025-06-18T02:09:31.233815,7.0,6.0,9.0,11.0,10.0,10.0,17.0,5.0
2025-06-18T02:09:32.234297,6.0,4.0,6.0,11.0,10.0,9.0,15.0,6.0
2025-06-18T02:09:33.235788,8.0,5.0,9.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:34.236338,8.0,6.0,7.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:35.237526,6.0,4.0,8.0,11.0,9.0,9.0,16.0,5.0
2025-06-18T02:09:36.238321,8.0,5.0,9.0,11.0,11.0,9.0,16.0,6.0
2025-06-18T02:09:37.238894,7.0,5.0,7.0,11.0,9.0,9.0,15.0,7.0
2025-06-18T02:09:38.239317,7.0,6.0,8.0,10.0,10.0,10.0,16.0,4.0
2025-06-18T02:09:39.240196,6.0,4.0,8.0,11.0,10.0,9.0,15.9,6.0
2025-06-18T02:09:40.243632,9.0,6.0,8.0,11.0,10.0,9.0,16.0,7.0
2025-06-18T02:09:41.244064,6.0,5.0,8.0,12.0,10.0,9.0,16.0,4.0
2025-06-18T02:09:42.244592,7.0,4.0,8.0,10.0,9.0,9.0,15.0,6.0
2025-06-18T02:09:43.245190,8.0,6.0,7.0,12.0,11.0,9.0,17.0,6.0
2025-06-18T02:09:44.245918,7.0,5.0,8.0,10.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:45.246440,7.0,4.0,8.0,11.0,10.0,10.0,17.0,7.0
2025-06-18T02:09:46.246882,7.0,6.0,9.0,11.0,10.0,9.0,15.0,5.0
2025-06-18T02:09:47.247315,7.0,5.0,7.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:48.248712,8.0,6.0,7.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:49.249497,7.0,5.0,9.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:50.250124,7.0,5.0,8.0,10.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:51.250827,7.0,5.0,8.0,12.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:52.253019,8.0,5.0,8.0,11.0,10.0,10.0,17.0,6.0
2025-06-18T02:09:53.253720,7.0,6.0,7.0,11.0,11.0,9.0,15.0,6.0
2025-06-18T02:09:54.254651,7.0,4.0,9.0,11.0,11.0,10.0,16.0,5.0
2025-06-18T02:09:55.257065,8.0,6.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:09:56.257641,6.0,5.0,8.0,11.0,9.0,9.0,16.0,5.0
2025-06-18T02:09:57.258592,8.0,5.0,8.0,11.0,11.0,9.0,16.0,6.0
2025-06-18T02:09:58.259184,7.0,5.0,8.0,11.0,10.0,10.0,16.0,6.0
2025-06-18T02:09:59.259719,8.0,5.0,8.0,11.0,9.0,9.0,16.0,6.0
2025-06-18T02:10:00.262762,6.0,5.0,8.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:10:01.263400,8.0,6.0,8.0,12.0,11.0,9.0,16.0,6.0
2025-06-18T02:10:02.265532,6.0,5.0,7.0,11.0,9.0,10.0,15.0,6.0
2025-06-18T02:10:03.267421,8.0,5.0,8.0,10.0,10.0,9.0,17.0,5.0
2025-06-18T02:10:04.268178,8.0,5.0,9.0,12.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:05.269044,6.0,5.0,7.0,10.0,11.0,9.0,16.0,6.0
2025-06-18T02:10:06.269723,8.0,5.0,7.0,12.0,10.0,10.0,16.0,4.0
2025-06-18T02:10:07.270460,7.0,5.0,9.0,11.0,9.0,10.0,15.0,6.0
2025-06-18T02:10:08.272436,7.0,5.0,8.0,10.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:09.273786,8.0,5.0,7.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:10.274243,7.0,6.0,9.0,12.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:11.274935,7.0,5.0,8.0,10.0,9.0,9.0,15.0,5.0
2025-06-18T02:10:12.275415,6.0,4.0,7.0,11.0,10.0,9.0,15.0,5.0
2025-06-18T02:10:13.276962,8.0,6.0,8.0,11.0,11.0,9.0,18.0,6.0
2025-06-18T02:10:14.277650,8.0,5.0,9.0,11.0,9.0,10.0,15.0,5.0
2025-06-18T02:10:15.278109,7.0,5.0,7.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:16.278547,7.0,5.0,9.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:17.279017,7.0,5.0,7.0,11.0,10.0,9.0,15.0,6.0
2025-06-18T02:10:18.279636,7.0,5.0,8.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:10:19.280944,8.0,5.0,8.0,11.0,10.0,9.0,15.0,5.0
2025-06-18T02:10:20.281595,7.0,6.0,8.0,10.0,10.0,10.0,16.0,6.0
2025-06-18T02:10:21.282381,7.0,5.0,8.0,11.0,9.0,9.0,15.0,5.0
2025-06-18T02:10:22.283317,7.0,4.0,8.0,12.0,11.0,10.0,17.0,6.0
2025-06-18T02:10:23.284082,8.0,5.0,8.0,10.0,9.0,9.0,15.0,6.0
2025-06-18T02:10:24.284511,6.0,5.0,8.0,12.0,11.0,9.0,16.0,5.0
2025-06-18T02:10:25.285370,8.0,6.0,8.0,11.0,10.0,9.0,16.0,6.0
